"product";"product_variation";"availability";"shop_id";"price";"shop";"href";"redirect_link"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Arctic Silver EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2281";"491.16";"CitisShop";"/products/show/28515977";"http://www.citisshop.com/index.php?route=product/product&product_id=39809"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Orchid Gray EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2281";"491.16";"CitisShop";"/products/show/28515976";"http://www.citisshop.com/index.php?route=product/product&product_id=39808"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 LTE 64 GB ORCHID GREY EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1967";"491.20";"Phonegallery";"/products/show/28738749";"http://www.phonegallery.gr/index.php?dispatch=products.view&product_id=3580"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 LTE 64GB ARCTIC SILVER EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1967";"491.20";"Phonegallery";"/products/show/28738748";"http://www.phonegallery.gr/index.php?dispatch=products.view&product_id=3581"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 64 GB LTE Coral Blue EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1967";"491.20";"Phonegallery";"/products/show/29145256";"http://www.phonegallery.gr/index.php?dispatch=products.view&product_id=3704"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 64 GB LTE Coral Blue EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2252";"491.20";"E-deal";"/products/show/29783422";"http://www.e-deal.gr/index.php?dispatch=products.view&product_id=660633"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 64 GB LTE MIDNIGHT BLACK EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2252";"491.20";"E-deal";"/products/show/28764376";"http://www.e-deal.gr/index.php?dispatch=products.view&product_id=660416"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 LTE 64 GB ORCHID GREY EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2252";"491.20";"E-deal";"/products/show/28764375";"http://www.e-deal.gr/index.php?dispatch=products.view&product_id=660417"
"Samsung Galaxy S8 (64GB)";"SAMSUNG S8 G950 LTE 64GB ARCTIC SILVER EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2252";"491.20";"E-deal";"/products/show/28764374";"http://www.e-deal.gr/index.php?dispatch=products.view&product_id=660418"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Midnight Black EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3304";"491.37";"Eurotelshop";"/products/show/28961862";"http://eurotelshop.gr/index.php?route=product/product&product_id=1560"
